,Code,Price,volume,Turover,Flag,Askprice0,Askvolume0,Bidprice0,Bidvolume0,HighestPrice,LowestPrice
2018-04-24 21:00:00.500,rb1805,3891.0,68.0,2645880.0,1.0,3891.0,582.0,3890.0,621.0,3891.0,3891.0
2018-04-24 21:00:01.000,rb1805,3890.0,218.0,8481560.0,1.0,3891.0,514.0,3890.0,580.0,3891.0,3890.0
2018-04-24 21:00:01.500,rb1805,3890.0,154.0,5990600.0,1.0,3891.0,519.0,3890.0,503.0,3891.0,3890.0
2018-04-24 21:00:02.000,rb1805,3890.0,64.0,2489600.0,1.0,3891.0,519.0,3890.0,471.0,3891.0,3890.0
2018-04-24 21:00:02.500,rb1805,3890.0,106.0,4123800.0,1.0,3891.0,499.0,3890.0,438.0,3891.0,3890.0
2018-04-24 21:00:03.000,rb1805,3890.0,40.0,1556000.0,1.0,3891.0,499.0,3890.0,418.0,3891.0,3890.0
2018-04-24 21:00:03.500,rb1805,3891.0,4.0,155640.0,1.0,3891.0,497.0,3890.0,418.0,3891.0,3890.0
2018-04-24 21:00:04.000,rb1805,3891.0,0.0,0.0,1.0,3891.0,492.0,3890.0,418.0,3891.0,3890.0
2018-04-24 21:00:04.500,rb1805,3891.0,0.0,0.0,1.0,3891.0,498.0,3890.0,418.0,3891.0,3890.0
2018-04-24 21:00:05.000,rb1805,3890.0,12.0,466800.0,1.0,3891.0,498.0,3890.0,412.0,3891.0,3890.0
2018-04-24 21:00:05.500,rb1805,3890.0,0.0,0.0,1.0,3891.0,493.0,3890.0,412.0,3891.0,3890.0
2018-04-24 21:00:06.000,rb1805,3890.0,0.0,0.0,1.0,3891.0,498.0,3890.0,412.0,3891.0,3890.0
2018-04-24 21:00:06.500,rb1805,3890.0,0.0,0.0,1.0,3891.0,498.0,3890.0,412.0,3891.0,3890.0
2018-04-24 21:00:07.000,rb1805,3891.0,6.0,233460.0,1.0,3891.0,495.0,3890.0,412.0,3891.0,3890.0
2018-04-24 21:00:07.500,rb1805,3890.0,12.0,466800.0,1.0,3891.0,495.0,3890.0,406.0,3891.0,3890.0
2018-04-24 21:00:08.000,rb1805,3890.0,0.0,0.0,1.0,3891.0,495.0,3890.0,406.0,3891.0,3890.0
2018-04-24 21:00:08.500,rb1805,3890.0,0.0,0.0,1.0,3891.0,495.0,3890.0,406.0,3891.0,3890.0
2018-04-24 21:00:09.000,rb1805,3890.0,0.0,0.0,1.0,3891.0,495.0,3890.0,406.0,3891.0,3890.0
2018-04-24 21:00:09.500,rb1805,3890.0,2.0,77800.0,1.0,3891.0,495.0,3890.0,405.0,3891.0,3890.0
2018-04-24 21:00:10.000,rb1805,3890.0,0.0,0.0,1.0,3891.0,505.0,3890.0,410.0,3891.0,3890.0
2018-04-24 21:00:10.500,rb1805,3890.0,10.0,389000.0,1.0,3891.0,505.0,3890.0,405.0,3891.0,3890.0
2018-04-24 21:00:11.000,rb1805,3890.0,0.0,0.0,1.0,3891.0,505.0,3890.0,405.0,3891.0,3890.0
2018-04-24 21:00:11.500,rb1805,3890.0,4.0,155600.0,1.0,3891.0,505.0,3890.0,403.0,3891.0,3890.0
2018-04-24 21:00:12.000,rb1805,3890.0,4.0,155620.0,1.0,3891.0,504.0,3890.0,402.0,3891.0,3890.0
2018-04-24 21:00:12.500,rb1805,3890.0,0.0,0.0,1.0,3891.0,504.0,3890.0,402.0,3891.0,3890.0
2018-04-24 21:00:13.000,rb1805,3891.0,2.0,77820.0,1.0,3891.0,503.0,3890.0,402.0,3891.0,3890.0
2018-04-24 21:00:13.500,rb1805,3891.0,0.0,0.0,1.0,3891.0,503.0,3890.0,402.0,3891.0,3890.0
